Filename,Label,LabelTimeStamp,Spec_NStep,Spec_NWin,Spec_x1,Spec_y1,Spec_x2,Spec_y2,LabelStartTime_Seconds,LabelEndTime_Seconds,LabelArea_DataPoints,DetectorConfidence
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,9.412,0,10.412,576.0,0.009,0.01,,0.124
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,65.882,0,66.882,576.0,0.066,0.067,,0.101
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,122.353,0,123.353,576.0,0.122,0.123,,0.418
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,145.882,0,146.882,576.0,0.146,0.147,,0.114
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,183.529,0,184.529,576.0,0.184,0.185,,0.624
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,277.647,0,278.647,576.0,0.278,0.279,,0.109
/D-BARBA_20171012_000811_485.wav,bat,2020-03-31T18:38:52.888198,0.001,0.003,334.118,0,335.118,576.0,0.334,0.335,,0.11
