INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/home/maxime/Documents/memoire/tests,,A-DASY_20170310_202056_382.wav,3.017333,2017-03-10,20:20:56.381,20,2017-03-10,08:20:56.381,8,,,,,,,,,,,,,1,,,,,,s5W+pt5kBTubkulLEaKpGA==
/home/maxime/Documents/memoire/tests,,A-DASY_20170310_203317_812.wav,5,2017-03-10,20:33:17.812,20,2017-03-10,08:33:17.812,8,,,,,,,,,,,,,1,,,,,,APOZxxkRQbBkvCbS14B8Iw==
/home/maxime/Documents/memoire/tests,,A-DASY_20170310_203322_812.wav,5,2017-03-10,20:33:22.812,20,2017-03-10,08:33:22.812,8,,,,,,,,,,,,,1,,,,,,WaZbKTxPzUkPF1RAWPB+Ag==
/home/maxime/Documents/memoire/tests,,A-DASY_20170310_213949_363.wav,4.136667,2017-03-10,21:39:49.362,21,2017-03-10,09:39:49.362,9,,,,,,,,,,,,,1,,,,,,ExiLRQq8pqh0/MTHFTftHQ==
/home/maxime/Documents/memoire/tests,,A-DASY_20170310_234712_711.wav,5,2017-03-10,23:47:12.711,23,2017-03-10,11:47:12.711,11,,,,,,,,,,,,,1,,,,,,TJr65pf3UNuZ+vWSbnz+VQ==
/home/maxime/Documents/memoire/tests,,A-DASY_20170311_013753_157.wav,5,2017-03-11,01:37:53.155,1,2017-03-10,13:37:53.155,13,,,,,,,,,,,,,1,,,,,,EDjws0S9OR3CmFcELRZhlQ==
/home/maxime/Documents/memoire/tests,,A-DASY_20170311_015724_526.wav,5,2017-03-11,01:57:24.524,1,2017-03-10,13:57:24.524,13,,,,,,,,,,,,,1,,,,,,xlYvuI8vMHYQeASOC2UcOw==
/home/maxime/Documents/memoire/tests,,A-DASY_20170311_191702_821.wav,5,2017-03-11,19:17:02.821,19,2017-03-11,07:17:02.821,7,,,,,,,,,,,,,1,,,,,,FkaVRQKP4i1hpGOfHVX0sA==
/home/maxime/Documents/memoire/tests,,A-DASY_20170311_192122_331.wav,5,2017-03-11,19:21:22.329,19,2017-03-11,07:21:22.329,7,,,,,,,,,,,,,1,,,,,,2r9cwJQ0mdJQHiohoi12HA==
/home/maxime/Documents/memoire/tests,,A-DASY_20170311_195845_643.wav,5,2017-03-11,19:58:45.643,19,2017-03-11,07:58:45.643,7,,,,,,,,,,,,,1,,,,,,48ynRY5oAL0fQgggOgklJA==
